rowID	kmeans20	kmeans20_conf	rowName
614	7	0.154350	inputFiles/WOSCorpus(614)
627	7	0.082676	inputFiles/WOSCorpus(627)
637	7	0.102867	inputFiles/WOSCorpus(637)
641	7	0.193975	inputFiles/WOSCorpus(641)
656	7	0.072286	inputFiles/WOSCorpus(656)
677	7	0.059198	inputFiles/WOSCorpus(677)
679	7	0.195172	inputFiles/WOSCorpus(679)
682	7	0.076186	inputFiles/WOSCorpus(682)
705	7	0.194062	inputFiles/WOSCorpus(705)
706	7	0.295361	inputFiles/WOSCorpus(706)
717	7	0.169596	inputFiles/WOSCorpus(717)
721	7	0.232582	inputFiles/WOSCorpus(721)
775	7	0.071557	inputFiles/WOSCorpus(775)
797	7	0.226094	inputFiles/WOSCorpus(797)
838	7	0.225855	inputFiles/WOSCorpus(838)
934	7	0.124309	inputFiles/WOSCorpus(934)
960	7	0.119856	inputFiles/WOSCorpus(960)
966	7	0.307049	inputFiles/WOSCorpus(966)
2	8	0.173657	inputFiles/WOSCorpus(2)
3	8	0.143448	inputFiles/WOSCorpus(3)
6	8	0.288761	inputFiles/WOSCorpus(6)
27	8	0.236463	inputFiles/WOSCorpus(27)
50	8	0.185412	inputFiles/WOSCorpus(50)
54	8	0.126316	inputFiles/WOSCorpus(54)
68	8	0.160694	inputFiles/WOSCorpus(68)
69	8	0.075472	inputFiles/WOSCorpus(69)
74	8	0.180395	inputFiles/WOSCorpus(74)
78	8	0.354051	inputFiles/WOSCorpus(78)
88	8	0.114528	inputFiles/WOSCorpus(88)
132	8	0.201310	inputFiles/WOSCorpus(132)
163	8	0.275577	inputFiles/WOSCorpus(163)
201	8	0.113561	inputFiles/WOSCorpus(201)
202	8	0.156120	inputFiles/WOSCorpus(202)
211	8	0.104782	inputFiles/WOSCorpus(211)
221	8	0.280791	inputFiles/WOSCorpus(221)
236	8	0.127657	inputFiles/WOSCorpus(236)
270	8	0.062446	inputFiles/WOSCorpus(270)
284	8	0.054917	inputFiles/WOSCorpus(284)
288	8	0.226019	inputFiles/WOSCorpus(288)
289	8	0.227941	inputFiles/WOSCorpus(289)
301	8	0.294060	inputFiles/WOSCorpus(301)
308	8	0.150958	inputFiles/WOSCorpus(308)
340	8	0.276876	inputFiles/WOSCorpus(340)
352	8	0.122197	inputFiles/WOSCorpus(352)
387	8	0.097330	inputFiles/WOSCorpus(387)
