rowID	kmeans20	kmeans20_conf	rowName
805	8	0.195962	inputFiles/WOSCorpus(805)
824	8	0.053044	inputFiles/WOSCorpus(824)
830	8	0.221079	inputFiles/WOSCorpus(830)
845	8	0.128789	inputFiles/WOSCorpus(845)
865	8	0.100470	inputFiles/WOSCorpus(865)
875	8	0.186227	inputFiles/WOSCorpus(875)
900	8	0.130264	inputFiles/WOSCorpus(900)
905	8	0.111685	inputFiles/WOSCorpus(905)
906	8	0.074792	inputFiles/WOSCorpus(906)
907	8	0.084197	inputFiles/WOSCorpus(907)
930	8	0.138772	inputFiles/WOSCorpus(930)
931	8	0.123087	inputFiles/WOSCorpus(931)
11	9	0.115005	inputFiles/WOSCorpus(11)
59	9	0.237543	inputFiles/WOSCorpus(59)
81	9	0.081964	inputFiles/WOSCorpus(81)
88	9	0.214172	inputFiles/WOSCorpus(88)
89	9	0.053981	inputFiles/WOSCorpus(89)
95	9	0.148618	inputFiles/WOSCorpus(95)
97	9	0.112763	inputFiles/WOSCorpus(97)
98	9	0.051952	inputFiles/WOSCorpus(98)
109	9	0.042292	inputFiles/WOSCorpus(109)
110	9	0.052904	inputFiles/WOSCorpus(110)
121	9	0.170322	inputFiles/WOSCorpus(121)
123	9	0.166728	inputFiles/WOSCorpus(123)
129	9	0.094527	inputFiles/WOSCorpus(129)
139	9	0.085912	inputFiles/WOSCorpus(139)
153	9	0.058139	inputFiles/WOSCorpus(153)
158	9	0.152613	inputFiles/WOSCorpus(158)
160	9	0.079210	inputFiles/WOSCorpus(160)
171	9	0.193155	inputFiles/WOSCorpus(171)
186	9	0.066899	inputFiles/WOSCorpus(186)
231	9	0.059940	inputFiles/WOSCorpus(231)
235	9	0.145179	inputFiles/WOSCorpus(235)
237	9	0.034123	inputFiles/WOSCorpus(237)
251	9	0.126812	inputFiles/WOSCorpus(251)
253	9	0.087055	inputFiles/WOSCorpus(253)
304	9	0.134805	inputFiles/WOSCorpus(304)
313	9	0.164546	inputFiles/WOSCorpus(313)
322	9	0.179139	inputFiles/WOSCorpus(322)
326	9	0.059523	inputFiles/WOSCorpus(326)
357	9	0.209553	inputFiles/WOSCorpus(357)
359	9	0.229001	inputFiles/WOSCorpus(359)
381	9	0.209815	inputFiles/WOSCorpus(381)
384	9	0.171964	inputFiles/WOSCorpus(384)
389	9	0.119578	inputFiles/WOSCorpus(389)
498	9	0.100634	inputFiles/WOSCorpus(498)
524	9	0.144341	inputFiles/WOSCorpus(524)
526	9	0.082723	inputFiles/WOSCorpus(526)
537	9	0.100236	inputFiles/WOSCorpus(537)
547	9	0.029047	inputFiles/WOSCorpus(547)
557	9	0.112598	inputFiles/WOSCorpus(557)
558	9	0.077368	inputFiles/WOSCorpus(558)
579	9	0.123492	inputFiles/WOSCorpus(579)
597	9	0.064083	inputFiles/WOSCorpus(597)
621	9	0.224747	inputFiles/WOSCorpus(621)
628	9	0.091870	inputFiles/WOSCorpus(628)
629	9	0.119088	inputFiles/WOSCorpus(629)
632	9	0.054020	inputFiles/WOSCorpus(632)
641	9	0.092237	inputFiles/WOSCorpus(641)
748	9	0.044803	inputFiles/WOSCorpus(748)
768	9	0.117867	inputFiles/WOSCorpus(768)
769	9	0.077770	inputFiles/WOSCorpus(769)
871	9	0.059935	inputFiles/WOSCorpus(871)
891	9	0.144975	inputFiles/WOSCorpus(891)
909	9	0.048413	inputFiles/WOSCorpus(909)
933	9	0.105092	inputFiles/WOSCorpus(933)
945	9	0.100488	inputFiles/WOSCorpus(945)
32	10	0.175571	inputFiles/WOSCorpus(32)
65	10	0.170109	inputFiles/WOSCorpus(65)
86	10	0.051652	inputFiles/WOSCorpus(86)
150	10	0.164529	inputFiles/WOSCorpus(150)
152	10	0.088529	inputFiles/WOSCorpus(152)
164	10	0.049377	inputFiles/WOSCorpus(164)
183	10	0.058957	inputFiles/WOSCorpus(183)
203	10	0.057864	inputFiles/WOSCorpus(203)
214	10	0.149955	inputFiles/WOSCorpus(214)
215	10	0.142610	inputFiles/WOSCorpus(215)
222	10	0.043367	inputFiles/WOSCorpus(222)
223	10	0.154263	inputFiles/WOSCorpus(223)
225	10	0.144630	inputFiles/WOSCorpus(225)
250	10	0.044758	inputFiles/WOSCorpus(250)
301	10	0.203664	inputFiles/WOSCorpus(301)
365	10	0.066761	inputFiles/WOSCorpus(365)
367	10	0.138613	inputFiles/WOSCorpus(367)
421	10	0.232121	inputFiles/WOSCorpus(421)
434	10	0.131308	inputFiles/WOSCorpus(434)
446	10	0.158087	inputFiles/WOSCorpus(446)
473	10	0.169041	inputFiles/WOSCorpus(473)
475	10	0.213656	inputFiles/WOSCorpus(475)
519	10	0.058799	inputFiles/WOSCorpus(519)
550	10	0.223555	inputFiles/WOSCorpus(550)
581	10	0.141934	inputFiles/WOSCorpus(581)
584	10	0.039933	inputFiles/WOSCorpus(584)
589	10	0.107525	inputFiles/WOSCorpus(589)
610	10	0.088361	inputFiles/WOSCorpus(610)
611	10	0.058432	inputFiles/WOSCorpus(611)
612	10	0.095344	inputFiles/WOSCorpus(612)
639	10	0.210995	inputFiles/WOSCorpus(639)
659	10	0.158504	inputFiles/WOSCorpus(659)
661	10	0.099108	inputFiles/WOSCorpus(661)
676	10	0.111384	inputFiles/WOSCorpus(676)
740	10	0.053324	inputFiles/WOSCorpus(740)
741	10	0.067662	inputFiles/WOSCorpus(741)
749	10	0.160174	inputFiles/WOSCorpus(749)
755	10	0.047848	inputFiles/WOSCorpus(755)
785	10	0.072519	inputFiles/WOSCorpus(785)
798	10	0.209573	inputFiles/WOSCorpus(798)
820	10	0.069442	inputFiles/WOSCorpus(820)
892	10	0.151913	inputFiles/WOSCorpus(892)
915	10	0.049956	inputFiles/WOSCorpus(915)
916	10	0.068034	inputFiles/WOSCorpus(916)
949	10	0.133177	inputFiles/WOSCorpus(949)
956	10	0.217342	inputFiles/WOSCorpus(956)
15	11	0.071287	inputFiles/WOSCorpus(15)
16	11	0.059061	inputFiles/WOSCorpus(16)
22	11	0.059454	inputFiles/WOSCorpus(22)
37	11	0.240029	inputFiles/WOSCorpus(37)
114	11	0.150338	inputFiles/WOSCorpus(114)
144	11	0.134471	inputFiles/WOSCorpus(144)
156	11	0.118679	inputFiles/WOSCorpus(156)
193	11	0.192982	inputFiles/WOSCorpus(193)
208	11	0.185186	inputFiles/WOSCorpus(208)
210	11	0.120818	inputFiles/WOSCorpus(210)
212	11	0.116469	inputFiles/WOSCorpus(212)
219	11	0.124918	inputFiles/WOSCorpus(219)
224	11	0.056583	inputFiles/WOSCorpus(224)
227	11	0.089052	inputFiles/WOSCorpus(227)
238	11	0.140265	inputFiles/WOSCorpus(238)
269	11	0.068960	inputFiles/WOSCorpus(269)
273	11	0.103763	inputFiles/WOSCorpus(273)
323	11	0.108170	inputFiles/WOSCorpus(323)
336	11	0.241549	inputFiles/WOSCorpus(336)
343	11	0.197272	inputFiles/WOSCorpus(343)
350	11	0.041339	inputFiles/WOSCorpus(350)
400	11	0.166204	inputFiles/WOSCorpus(400)
401	11	0.058521	inputFiles/WOSCorpus(401)
416	11	0.043849	inputFiles/WOSCorpus(416)
430	11	0.234180	inputFiles/WOSCorpus(430)
483	11	0.153343	inputFiles/WOSCorpus(483)
496	11	0.231872	inputFiles/WOSCorpus(496)
499	11	0.058543	inputFiles/WOSCorpus(499)
512	11	0.150913	inputFiles/WOSCorpus(512)
515	11	0.050434	inputFiles/WOSCorpus(515)
517	11	0.040986	inputFiles/WOSCorpus(517)
532	11	0.117115	inputFiles/WOSCorpus(532)
543	11	0.052958	inputFiles/WOSCorpus(543)
554	11	0.125260	inputFiles/WOSCorpus(554)
559	11	0.139281	inputFiles/WOSCorpus(559)
570	11	0.061049	inputFiles/WOSCorpus(570)
573	11	0.080891	inputFiles/WOSCorpus(573)
591	11	0.161458	inputFiles/WOSCorpus(591)
595	11	0.081636	inputFiles/WOSCorpus(595)
607	11	0.181049	inputFiles/WOSCorpus(607)
627	11	0.094958	inputFiles/WOSCorpus(627)
630	11	0.229832	inputFiles/WOSCorpus(630)
654	11	0.089674	inputFiles/WOSCorpus(654)
677	11	0.226190	inputFiles/WOSCorpus(677)
687	11	0.131586	inputFiles/WOSCorpus(687)
712	11	0.126305	inputFiles/WOSCorpus(712)
721	11	0.097928	inputFiles/WOSCorpus(721)
787	11	0.129785	inputFiles/WOSCorpus(787)
799	11	0.245522	inputFiles/WOSCorpus(799)
816	11	0.205185	inputFiles/WOSCorpus(816)
897	11	0.058620	inputFiles/WOSCorpus(897)
901	11	0.046181	inputFiles/WOSCorpus(901)
921	11	0.159473	inputFiles/WOSCorpus(921)
939	11	0.061687	inputFiles/WOSCorpus(939)
946	11	0.065638	inputFiles/WOSCorpus(946)
952	11	0.094982	inputFiles/WOSCorpus(952)
955	11	0.078551	inputFiles/WOSCorpus(955)
5	12	0.046640	inputFiles/WOSCorpus(5)
10	12	0.035636	inputFiles/WOSCorpus(10)
20	12	0.072561	inputFiles/WOSCorpus(20)
58	12	0.098550	inputFiles/WOSCorpus(58)
93	12	0.087417	inputFiles/WOSCorpus(93)
113	12	0.297759	inputFiles/WOSCorpus(113)
119	12	0.161432	inputFiles/WOSCorpus(119)
140	12	0.108043	inputFiles/WOSCorpus(140)
147	12	0.255567	inputFiles/WOSCorpus(147)
170	12	0.165789	inputFiles/WOSCorpus(170)
175	12	0.075912	inputFiles/WOSCorpus(175)
176	12	0.074366	inputFiles/WOSCorpus(176)
190	12	0.075089	inputFiles/WOSCorpus(190)
204	12	0.114491	inputFiles/WOSCorpus(204)
216	12	0.056889	inputFiles/WOSCorpus(216)
264	12	0.058878	inputFiles/WOSCorpus(264)
266	12	0.099432	inputFiles/WOSCorpus(266)
296	12	0.045940	inputFiles/WOSCorpus(296)
311	12	0.128759	inputFiles/WOSCorpus(311)
319	12	0.208933	inputFiles/WOSCorpus(319)
342	12	0.130475	inputFiles/WOSCorpus(342)
346	12	0.041276	inputFiles/WOSCorpus(346)
347	12	0.081702	inputFiles/WOSCorpus(347)
410	12	0.039670	inputFiles/WOSCorpus(410)
438	12	0.187324	inputFiles/WOSCorpus(438)
439	12	0.161998	inputFiles/WOSCorpus(439)
460	12	0.089517	inputFiles/WOSCorpus(460)
468	12	0.045060	inputFiles/WOSCorpus(468)
481	12	0.079767	inputFiles/WOSCorpus(481)
485	12	0.061922	inputFiles/WOSCorpus(485)
495	12	0.153172	inputFiles/WOSCorpus(495)
497	12	0.074433	inputFiles/WOSCorpus(497)
505	12	0.148808	inputFiles/WOSCorpus(505)
507	12	0.165983	inputFiles/WOSCorpus(507)
509	12	0.100820	inputFiles/WOSCorpus(509)
510	12	0.064204	inputFiles/WOSCorpus(510)
511	12	0.071423	inputFiles/WOSCorpus(511)
529	12	0.137968	inputFiles/WOSCorpus(529)
533	12	0.190087	inputFiles/WOSCorpus(533)
539	12	0.076638	inputFiles/WOSCorpus(539)
