16-Sep-2012 14:24:01
2043	45584	1
20460	44223	2
2048	45498	2
2049	22651	2
205	19692	10
2050	2231	135
205000	4480	2
2052	44209	2
2056	43300	1
20565	35711	1
2058	39030	1
206	3145	8
2060	6378	2
207	17845	4
2070	27015	1
208	23114	16
2080	14403	13
2081	30729	1
2088	17846	2
209	6379	2
2095	38986	3
2096	44944	1
2098	44945	2
21	3146	266
210	4548	5
2100	9361	42
21000	25746	12
2101	25269	2
2105	14365	2
2108	36635	2
211	20128	2
2116	17847	2
2118	36636	1
212	5614	113
212000	4481	1
2121	43301	1
213	14097	8
2130	21536	1
213000	41023	1
214	987	3
2148	28291	1
215	23115	9
2150	35977	1
2151	36637	2
216	6380	14
2164	25323	1
21668	39770	1
217	32106	3
2170	31606	1
219	6381	10
22	1335	187
220	6382	11
2200	12380	17
22000	22507	11
220000	9192	2
2202	36462	1
2205	39771	1
2209	38645	1
221	3284	11
221011	42716	1
222	22508	14
2220	20929	2
22202	18851	1
2222	36463	2
2224	17848	2
2225	24217	2
223	6383	4
2232	24853	1
2240	42258	1
2243	45784	1
225	3285	10
22500	45450	2
226	36638	1
2260	42520	2
22600	41024	1
227	44946	1
2271	38598	4
228	11656	4
2280	32173	3
2285	15150	1
2286	26335	1
229	30730	5
229799	28947	1
229870	35137	1
23	4214	173
230	22686	8
2300	36639	3
23000	23806	5
230000	41115	1
2301	3286	3
2303	44568	1
231	40275	7
2311	39188	1
23150	35226	2
2317	38663	1
232	21092	8
2320	32481	3
233	26336	4
234	25701	8
2340	18419	8
2343	32840	1
2345	3287	1
235	22509	4
235000	39268	8
2355	39533	1
236	14035	3
2365	44947	1
237	14098	6
2376	14841	2
2377	36640	2
2381	43302	1
239	5615	10
2390	18365	2
2393	23664	1
24	1712	193
240	15430	12
2400	13848	5
24000	19422	8
2401	39772	3
241	23574	3
2411	22510	1
24121	17849	2
242	15151	5
2438	36641	1
244	1248	9
2448	36642	2
245	14099	8
24523	17850	2
246	17590	2
2462	44422	1
2465	46047	1
247	31607	1
248	39773	2
2481	22973	1
2485	17851	5
249	17591	1
2490	22511	1
2491	19577	3
25	2466	305
250	8048	39
2500	7063	26
25000	7020	13
250000	11390	13
2504	28901	1
2507	24720	1
251	546	3
252	6384	5
2520	44902	1
253	21611	5
25320000	21103	1
25340	28948	1
2537	6385	2
254	6386	6
2541	42338	1
255	33543	6
2550	5616	4
2556	39774	1
256	32656	1
2560	16886	1
2562	43503	1
257	24721	2
2575	19503	1
258	34798	7
259	31025	2
26	2232	158
260	21139	3
2600	28275	5
26000	24449	7
260000	9193	1
261	44948	4
2615	39775	1
262	15713	8
2620	44949	1
262483200	21104	1
2626	44950	2
2642	44951	1
265	17592	6
2650	41722	1
265000	31120	1
266	40815	1
2660	27190	2
2663	17593	1
267	39776	1
26700	40733	1
2671	31576	2
2674	3288	1
268	17327	4
26875	43764	1
269	44187	1
27	408	175
270	5412	11
2700	19504	5
27000	15374	8
270000	36067	1
271	2927	6
27102	29263	1
272	8125	5
2720	37268	2
273	6387	6
2730	42780	2
2731	17594	2
2737	31026	1
274	25726	3
275	17852	4
2750	20129	1
275000	43896	1
2751	15714	1
2756	16751	1
276	29790	8
2763	36643	2
277	15715	5
2781	26546	1
2787	36644	7
2789	18692	3
279	5617	1
28	3289	165
280	12763	15
2800	14188	6
28000	14910	5
280000	33210	2
2801	44107	2
28030	44263	1
281	8709	2
282	15620	9
2822	26547	2
2824	27444	1
283	28818	1
284	12381	1
285	32612	4
287	20130	3
288	15398	3
2880	44952	6
2888	17853	5
289	36645	3
2892	44953	1
29	3290	134
290	8710	4
2900	7233	3
29000	988	1
2906	32214	1
2907	15419	1
29087	33196	1
291	41517	2
2916	20131	1
2934	15420	1
294	9250	20
295	42729	1
2959	44005	2
296	17854	4
2963	36646	1
297	12365	32
298	4775	7
299	39777	1
2991	20132	1
29935	43765	1
3	989	572
30	547	809
300	4932	68
3000	11391	65
30000	9510	17
300000	8751	20
3001	36647	3
3006	31936	2
301	15716	34
3010	6388	2
3013	31346	1
302000	38000	2
303	4776	26
30303	28527	1
30308	44264	1
3037	16929	1
304	10752	6
3041	15717	2
3042	43610	1
305	15152	13
3050	31937	4
307	31347	4
3079	44014	1
308	31027	1
30800	35801	1
3085	18420	1
3087	29187	1
3089	36648	1
31	2	164
310	35570	4
3100	25133	2
31000	37133	2
310000	10905	2
3101	6389	3
311	16996	2
3111	17855	3
312	6390	9
3120	23898	1
313	21991	3
3132	33197	1
3134	36649	2
313500	35164	2
314	29689	6
3141	44361	1
3146	1336	1
315	39778	1
3150	40544	2
31501	25134	1
3159	29264	1
316	17328	2
31600	42904	1
31794	27726	1
319	29023	6
32	3147	111
320	25646	7
3200	6391	6
32000	26108	9
321	5618	22
3215	44954	1
3219	31448	2
32209	44362	1
3221	31186	1
323	38923	1
3232	44955	1
3237	26135	1
324	42730	2
3241	36650	2
325	15718	2
325000	32144	1
3255	41252	2
326	25464	5
326000	16538	1
3264	33402	1
3267	32174	6
328	37566	7
3283	44956	1
329	44957	3
3297	37674	2
33	5619	50
330	18653	7
3300	27573	3
33000	40487	2
3301	39779	1
331	36651	4
3311	36652	2
33138	43766	1
3319	40276	8
332	3291	4
3329	17856	2
333	11657	6
333000	29484	1
3331	5620	3
3333	21537	2
334	5621	2
334000	28018	1
3345	42132	3
3346	37291	1
335	28949	2
33540	32215	1
3358	38300	2
336	6392	3
33601	26109	1
3361	18366	1
33647	32216	1
337	37741	2
338	3292	3
339	36653	1
3396	36654	2
3399	5622	2
34	4326	61
340	31028	11
3400	5623	5
34000	8553	3
3401	29265	1
3404	44958	1
341	8752	3
3413	17857	2
342	36655	5
343	15719	2
344	44959	3
345	38617	1
3456	19505	1
346	20801	7
3463	36656	2
3467	27445	1
347	6393	4
348	5624	12
3498	15720	1
35	409	163
350	8866	39
3500	21283	11
35000	32351	3
350000	43931	1
3501	39780	1
3506	44960	1
351	5625	3
3519	17858	2
352	6394	3
353	44961	2
354	31348	1
3540	15431	1
3543	17859	4
355	17860	4
3550	39781	1
3552	39782	1
355796	42339	1
356	38543	1
357	36657	3
357000	27381	1
3577	33737	1
358	34629	6
3586	17595	1
3589	44962	1
359	8486	7
359000	35681	1
3595	26350	1
36	4327	60
360	15935	17
3600	3148	3
36000	29715	4
360000	43833	5
3606	23575	1
3609	38924	1
3612	45542	2
3616	17861	2
3619	17862	2
362	12382	1
3626	17863	2
364	32005	2
3643	3968	4
3648	2928	2
365	5626	6
366	17864	5
3660	27820	1
3669	44963	1
367	43391	1
3681	5627	1
3685	18421	1
369	17865	2
3697	45671	1
37	12271	54
370	5628	3
3700	21992	3
37000	34265	4
3701	36173	1
370502	31577	2
3709	12542	2
371	44964	1
3711	5629	2
372	29017	1
3725	26896	1
373	15421	1
374	5281	12
37480	43767	1
375	32217	2
3750	36658	2
375000	28966	1
3766	5630	2
3767	44965	4
377	22101	3
3772	21724	1
3775	45566	2
3787	18852	1
3794	19952	9
3797	5631	2
38	4328	69
380	22974	7
3800	39783	4
38000	35571	1
3801	27446	1
381	29078	2
3811	31187	1
382	3682	1
383	5475	12
3831	27563	2
3838	18811	1
384	35355	1
385	12764	15
38549	32218	1
3857	35802	1
3858	5632	1
387	36659	5
3872	17596	1
39	7928	26
390	31713	5
3900	36660	1
39000	16539	1
390726	21321	1
391	38147	3
3912	17866	2
3916	44873	1
3919	17597	1
392	38064	1
3922	31578	2
3926	17598	1
393	36661	3
3932	17867	2
393260	31814	1
3947	28693	1
395	35682	1
3951	44874	1
396	18367	3
3960	5633	2
3969	37412	1
397	35712	2
398	29024	5
3987	39784	1
3988	5634	1
3989	8711	1
399	43392	1
39900000000000	37229	1
3992	37742	1
3999	36662	2
4	548	583
40	2322	244
400	5282	50
4000	19693	45
40000	9511	24
400000	21898	19
4001	44966	2
4009	27533	1
401	15721	36
4010	44967	2
402	14171	1
4032	17868	2
404	16752	8
405	6395	8
406	25702	2
4060	25677	1
4070	38544	1
4076	27772	1
408	2929	27
409	11171	4
41	4329	25
410	31492	25
41000	24450	5
4106	17869	2
411797	30771	1
412	27447	1
4125	38159	1
413	36663	1
4135	36664	1
4136	40361	1
4138	25358	2
4139	28623	1
414	32391	3
4143	8126	1
4148	9414	2
4149	28541	1
415	5635	23
4150	42731	1
4151	33403	1
4153	24722	1
4155	36665	3
4158	14581	1
416	3293	2
4169	17599	1
417	6396	3
41740	35138	1
4187	31128	1
419	19837	8
4192	21993	1
4199	17870	1
42	6397	55
420	31938	5
4200	5636	12
42000	37866	1
420000	7735	1
4201	45985	1
421	21899	2
